"FEN,Evaluation"
"6k1/5pp1/4b3/4n3/8/3B4/5PPP/6K1 w - -,-195"
"8/5k2/5p1p/4n1p1/8/4R2P/5PP1/6K1 w - -,331"
"8/1P6/r7/2K5/8/8/8/4k3 b - -,278"
"1R6/8/6K1/8/2p5/8/p7/k7 w - -,-180"
"4R3/7k/8/2p5/2P3N1/6KP/4r1P1/4n3 b - -,295"
"7k/8/4B3/4N1K1/8/8/8/8 b - -,175"
"1N1K4/8/4B3/8/8/8/8/3k4 b - -,204"
"8/1k6/4P3/4K3/8/P3B3/8/r7 w - -,275"
"8/8/8/2K5/2B5/k7/3N4/8 w - -,213"
"8/5pk1/5R1p/4P3/5PP1/r7/6K1/8 w - -,157"
"8/8/8/3k4/8/4K3/2B5/6N1 w - -,192"
"8/3P2k1/4K3/6r1/8/8/8/8 b - -,322"
"8/1p6/8/8/p1K4B/N7/pk6/8 w - -,275"
"8/3P2k1/8/6r1/4K3/8/8/8 b - -,166"
"8/5kp1/5p1p/4n3/7P/8/5PP1/4R1K1 w - -,301"
"4k3/6p1/5p1p/4n3/8/7P/5PP1/5RK1 b - -,259"
"Rb6/p1k5/2p5/8/6K1/4p3/8/5B2 w - -,271"
"4r3/6P1/2k3N1/7K/8/8/8/8 b - -,256"
"5k2/8/5K2/7B/3N4/8/8/8 b - -,157"
"5rk1/1R4pp/4R3/8/8/8/8/1K6 b - -,386"
"8/8/b4N2/p4P1P/3k4/p7/2P5/2K5 b - -,392"
"8/p4n2/5kp1/2p5/4BK1P/8/P5P1/8 w - -,200"
"8/2k5/p2b1R2/2p5/8/2P4r/P7/1K2R3 w - -,363"
"5k2/8/3NK2N/8/6p1/8/8/8 b - -,-288"
"5k2/8/3NK2N/8/8/6p1/8/8 w - -,-250"
"8/6pp/4k3/8/6P1/8/5P1P/6K1 w - -,252"
"8/8/8/8/3k2K1/1Rp5/8/8 b - -,-257"
"6k1/7R/6P1/7P/8/6r1/2K5/8 b - -,298"
"4r3/2p5/7R/3k4/2p2PP1/5K2/8/8 w - -,157"
