"FEN,Evaluation"
"8/8/8/3B2k1/8/4K3/3N4/8 b - -,201"
"8/8/8/3B4/6k1/4K3/3N4/8 w - -,191"
"8/1R4p1/4k2p/p3N1p1/3K4/5P1r/8/8 b - -,-375"
"6R1/8/4k3/p2p2P1/4p3/2P5/3K4/6r1 w - -,-216"
"4R3/8/4k3/p2p2P1/4p3/2P5/3K4/6r1 b - -,-299"
"5R2/6p1/p3N1k1/4P3/5Pb1/3K4/r7/8 w - -,203"
"5R2/6p1/p5k1/4P3/3N1Pb1/3K4/r7/8 b - -,252"
"5R2/6p1/p3P1k1/8/b2N1P2/3K4/r7/8 w - -,357"
"5R2/4P1p1/p5k1/8/b2N1P2/r2K4/8/8 w - -,398"
"8/8/8/3k4/8/4N3/8/4KB2 b - -,206"
"2B5/3K4/1k6/8/3B4/8/8/8 b - -,210"
"8/1B5k/6pp/1r6/8/p1NK3P/6P1/8 w - -,-167"
"8/7k/6pp/1r6/4B3/p1NK3P/6P1/8 b - -,-184"
"8/7k/6pp/3B4/8/p1NK3P/1r4P1/8 b - -,-245"
"8/6k1/6pp/3B4/8/p1NK3P/1r4P1/8 w - -,-173"
"8/7B/3N4/8/3k4/8/2K5/8 b - -,169"
"8/8/5k2/5PPR/r6P/8/6K1/8 b - -,285"
"8/8/8/5kPR/r6P/8/6K1/8 w - -,301"
"8/7B/8/8/2k1N3/8/2K5/8 w - -,176"
"7R/8/8/5kP1/r6P/8/6K1/8 b - -,344"
"8/8/5kpp/3B4/8/p1N1K2P/1r4P1/8 w - -,-220"
"8/8/6pp/3B1k2/7P/p1N1K3/1r4P1/8 w - -,-203"
"8/8/6pp/8/4B1kP/p1N1K3/1r4P1/8 w - -,-204"
"8/7B/8/1N1k4/8/8/1K6/8 b - -,265"
"8/8/6Bp/8/7k/p1N1K3/1r4P1/8 w - -,-204"
"8/8/7p/8/4B3/p1N1K1k1/1r4P1/8 w - -,-265"
"8/8/7p/8/4B2k/p1N1K3/1r4P1/8 b - -,-307"
"8/8/7p/8/4B2k/2N1K3/pr4P1/8 w - -,-343"
"8/8/6Bp/8/6kP/p1N1K3/1r4P1/8 b - -,-207"
"8/6p1/4B3/8/7p/2k5/p5P1/3K4 w - -,164"
"8/6p1/8/8/7p/2k5/B5P1/3K4 b - -,164"
"8/6p1/8/8/8/2k4p/B5P1/3K4 w - -,164"
"8/6p1/8/8/8/2k4P/B7/3K4 b - -,164"
"8/8/6p1/8/8/2k4P/B7/3K4 w - -,157"
"5r2/P7/7k/2K3p1/7p/8/1R6/8 b - -,-275"
"8/8/2pk1p2/1P5p/1PK4P/5Nb1/8/8 b - -,-395"
"8/3k2p1/p3p3/3p3P/1K6/3r4/P7/6R1 b - -,-269"
"6k1/6p1/7p/8/1R6/rb2P3/5KPP/8 b - -,-330"
"6k1/6p1/7p/3b4/1R6/r3P3/5KPP/8 w - -,-339"
"6k1/5bp1/7p/8/1R2P3/r7/5KPP/8 w - -,-354"
"8/2p5/p2p4/5R2/k4K2/8/8/8 b - -,310"
"8/3k2p1/p3p3/3p3P/1K1r4/8/P7/6R1 w - -,-287"
"8/3k2p1/p3p3/2Kp3P/2r5/8/P7/6R1 w - -,-332"
"5k2/8/4P1Rp/8/2BK2P1/3P3r/1r6/8 b - -,265"
"1r3k2/8/4P1Rp/8/2BK2P1/3P3r/8/8 w - -,267"
"1r3k2/8/4PR1p/8/2BK2P1/3P3r/8/8 b - -,276"
"8/6p1/pK1kp3/3p3P/2r5/8/P7/6R1 w - -,-346"
"1r6/6k1/4PR1p/8/2BK2P1/3P3r/8/8 w - -,280"
"1r6/5Rk1/4P2p/8/2BK2P1/3P3r/8/8 b - -,277"
"8/6R1/pK1kp3/3p3P/2r5/8/P7/8 b - -,-353"
"1r6/5R2/4P1kp/8/2BK2P1/3P3r/8/8 w - -,245"
"8/7B/8/2k5/8/2N5/2K5/8 b - -,193"
"8/7B/8/8/3k4/2N5/2K5/8 w - -,192"
"8/4N1b1/4K3/7P/3pB1k1/3P4/8/8 b - -,268"
"3R4/6k1/p7/5Bn1/P6p/4K3/1b3P2/8 w - -,400"
"8/4N1b1/4K3/7k/3pB3/3P4/8/8 w - -,260"
"8/6b1/4K3/5N1k/3pB3/3P4/8/8 b - -,258"
"7b/8/4K3/5N1k/3pB3/3P4/8/8 w - -,257"
"7b/8/8/3K1N1k/3pB3/3P4/8/8 b - -,240"
"7b/8/8/3K1Nk1/3pB3/3P4/8/8 w - -,241"
"6B1/8/8/5K2/8/3k4/8/6N1 w - -,211"
"6B1/8/8/8/5K2/8/2k5/6N1 w - -,209"
"6B1/8/8/8/8/4K3/2k5/6N1 b - -,215"
"7b/8/8/3K2k1/3NB3/3P4/8/8 b - -,264"
"7b/8/5k2/3K4/3NB3/3P4/8/8 w - -,264"
"7b/8/2N2k2/3K4/4B3/3P4/8/8 b - -,263"
"7b/5k2/2N5/3K4/4B3/3P4/8/8 w - -,263"
"6B1/8/8/8/8/4k3/1K6/6N1 b - -,193"
"7b/5k2/8/3KN3/4B3/3P4/8/8 b - -,263"
"4k2b/8/8/3KN3/4B3/3P4/8/8 w - -,394"
"8/5K1k/2B2p2/5Pbn/8/8/8/8 w - -,-314"
"8/5K1k/5p2/5Pbn/4B3/8/8/8 b - -,-322"
"5k2/8/5pK1/3B1PbP/8/5n2/8/8 b - -,-324"
"8/8/8/2k5/4B3/3K4/8/6N1 w - -,202"
"8/8/8/8/3k4/1B6/3N4/4K3 b - -,204"
"6k1/3R1p2/p5p1/4r3/8/B4K1P/1P6/8 b - -,339"
"8/5k2/3K4/8/8/7B/3N4/8 b - -,205"
"8/8/3K1k2/8/8/7B/3N4/8 w - -,193"
"8/2N5/5nkp/3p2p1/8/3RKP1r/8/8 b - -,-376"
"8/5pk1/7p/6p1/2r5/1R4PP/4NK2/8 w - -,306"
"8/1R3pk1/7p/6p1/2r5/6PP/4NK2/8 b - -,171"
"8/1R3pk1/7p/8/2r3pP/6P1/4NK2/8 b - -,376"
"8/5pk1/7p/6p1/2r3P1/1R5P/4NK2/8 b - -,311"
"8/5pk1/1R5p/6p1/r5P1/7P/4NK2/8 b - -,270"
"8/6k1/1R3p1p/6p1/r5P1/7P/4NK2/8 w - -,310"
"8/6k1/1R3p1p/6p1/r5P1/6NP/5K2/8 b - -,355"
"8/6k1/1R3p1p/6p1/6P1/r5NP/8/4K3 w - -,361"
"8/6k1/1R3p1p/5Np1/6P1/r6P/8/4K3 b - -,383"
"8/8/1R3pkp/5Np1/6P1/r6P/5K2/8 b - -,168"
"8/8/1R3pk1/5Npp/6P1/r6P/5K2/8 w - -,212"
"8/8/1R3pk1/6pp/6P1/r3N2P/5K2/8 b - -,216"
"8/8/1R3pk1/6pp/6P1/4N1KP/r7/8 b - -,219"
"8/8/1R3pk1/6pp/6P1/r3N1KP/8/8 w - -,216"
"8/8/1R3pk1/6pp/6P1/r3NK1P/8/8 b - -,227"
"8/8/1R3pk1/6p1/6P1/r3NK2/8/8 b - -,242"
"8/5k2/1R3p2/6p1/6P1/r3NK2/8/8 w - -,234"
"8/5k2/1R3p2/6p1/4K1P1/r3N3/8/8 b - -,240"
"8/5k2/1R3p2/6p1/r3K1P1/4N3/8/8 w - -,259"
"8/5k2/1R3p2/3K2p1/r5P1/4N3/8/8 b - -,218"
"8/5k2/1R3p2/r2K2p1/6P1/4N3/8/8 w - -,261"
"8/5k2/1R1K1p2/r5p1/6P1/4N3/8/8 b - -,239"
"8/r4k2/1R1K1p2/6p1/6P1/4N3/8/8 w - -,399"
"8/r7/1R2Kpk1/5Np1/6P1/8/8/8 b - -,164"
"8/3R4/4Kpk1/5Np1/6P1/8/8/2r5 b - -,165"
"8/3R4/4Kpk1/5Np1/6P1/8/8/4r3 w - -,171"
"8/3R4/3K1pk1/5Np1/6P1/8/8/4r3 b - -,181"
"8/3R4/3Krpk1/5Np1/6P1/8/8/8 w - -,207"
"8/8/6k1/2K2p2/1p2P2P/1P5b/2B4P/8 b - -,228"
"8/2KR4/2r2pk1/5Np1/6P1/8/8/8 w - -,190"
"8/8/6k1/2K5/1p2p2P/1P5b/2B4P/8 w - -,228"
"3K4/3R4/2r2pk1/5Np1/6P1/8/8/8 b - -,208"
"2rK4/3R4/5pk1/5Np1/6P1/8/8/8 w - -,212"
"2r5/3RK3/5pk1/5Np1/6P1/8/8/8 b - -,233"
"4r3/3RK3/5pk1/5Np1/6P1/8/8/8 w - -,233"
"4r3/3R4/3K1pk1/5Np1/6P1/8/8/8 b - -,245"
"1r6/8/5k2/4p1N1/4P2K/1p2P3/1R6/8 b - -,371"
"7r/8/5k2/4p1N1/4P1K1/1p2P3/1R6/8 b - -,397"
"3R4/1pB3pk/5p1p/5N2/4r3/8/8/5K2 w - -,282"
"7R/3r2p1/5pk1/8/3B4/5K2/4N3/8 b - -,342"
"8/2b5/8/5k1N/4p1pP/4K1P1/5P2/8 w - -,199"
"8/8/8/5k2/3bp1pP/6P1/4KPN1/8 b - -,284"
"8/8/1b6/5k2/4p1pP/6P1/4KPN1/8 w - -,382"
"7R/r4p2/5k1p/5p2/7P/6P1/5PK1/8 w - -,337"
"8/r4p2/5k1R/5p2/7P/6P1/5PK1/8 b - -,337"
"8/r4pk1/7R/5p2/7P/6P1/5PK1/8 w - -,363"
"8/r4pk1/1R6/5p2/7P/6P1/5PK1/8 b - -,363"
"8/8/8/8/8/1k1B4/3N4/2K5 b - -,196"
"8/8/6B1/8/8/2k5/3N4/2K5 b - -,188"
"8/8/6B1/8/3k4/8/3N4/2K5 w - -,173"
"8/8/6B1/4k3/8/8/2KN4/8 w - -,175"
"8/8/5k2/8/4B3/2K5/3N4/8 b - -,179"
"7k/R7/5p2/1r5p/5K1P/5B2/8/8 w - -,396"
"8/8/8/4k1N1/8/3B4/2K5/8 b - -,174"
"8/8/8/4k1N1/4B3/8/2K5/8 w - -,174"
"8/8/8/8/4KN2/8/8/k4B2 w - -,209"
"8/8/7k/1p1P2p1/1P1p4/3K4/3B1rP1/8 b - -,-393"
"8/8/3P3k/1p4p1/1P1p4/3K4/3B1r2/8 w - -,-391"
"8/5r2/3P3k/1p4p1/1P1p4/3K4/8/4B3 w - -,-307"
"8/8/8/3K1p2/8/4k3/6p1/1R6 b - -,-258"
"8/8/8/4K3/5p2/4k3/6p1/1R6 b - -,-265"
"8/8/8/4K3/8/1R2kp2/6p1/8 b - -,-264"
"8/8/8/8/5K2/1R3p2/5kp1/8 b - -,-264"
"8/8/8/8/5K2/1R3p2/4k1p1/8 w - -,-263"
"r2k2r1/5R2/1p2R3/4P3/P5P1/6K1/8/8 b - -,343"
"8/8/8/8/5K2/5p2/1R2k1p1/8 b - -,-217"
"3k2r1/5R2/1p2R3/4P3/r5P1/6K1/8/8 w - -,345"
"3k2r1/8/1p2R3/4P3/r4RP1/6K1/8/8 b - -,334"
"3k2r1/8/1p2R3/4P3/5RP1/r5K1/8/8 w - -,347"
"3k3r/8/1p2R3/4P3/5RPK/r7/8/8 w - -,339"
"3k2r1/8/1p2R3/4P1K1/5RP1/r7/8/8 w - -,369"
"3k2r1/8/1p2RK2/4P3/5RP1/r7/8/8 b - -,370"
"3k1r2/8/1p2RK2/4P3/5RP1/r7/8/8 w - -,376"
"3k1r2/8/1p2R3/4P1K1/5RP1/r7/8/8 b - -,391"
"8/8/8/8/5K2/1R1k1p2/6p1/8 b - -,-289"
"8/5pp1/4p1kp/6r1/8/4R1KP/6P1/8 w - -,-350"
"8/5pp1/4k2p/4p2r/8/4R1PP/6K1/8 w - -,-321"
"8/p1p5/1k2P3/1pbK1N2/8/2P5/8/8 b - -,-275"
"8/p7/1kp1P3/1pbK1N2/8/2P5/8/8 w - -,-299"
"8/p7/1kp1P3/1pb2N2/4K3/2P5/8/8 b - -,-311"
"8/p1k5/2p1P3/1pb2N2/4K3/2P5/8/8 w - -,-319"
"1RR2nk1/8/7p/8/8/7P/5r1K/8 w - -,366"
"6k1/p1R2pp1/2p5/7p/8/8/r7/2R1K3 w - -,244"
"6k1/p4pp1/2R5/7p/8/8/r7/2R1K3 b - -,183"
"6k1/p4pp1/2R5/7p/8/8/7r/2R1K3 w - -,273"
"6k1/p4pp1/8/2R4p/8/8/7r/2R1K3 b - -,187"
"6k1/p4pp1/8/2R4p/8/8/8/2R1K2r w - -,269"
"6k1/p4pp1/8/2R4p/8/8/3K4/2R4r b - -,261"
"8/4k3/6P1/pp2p3/2r1P3/6R1/5P2/4K3 b - -,-237"
"1RR2nk1/5r2/7p/8/8/6KP/8/8 w - -,357"
"8/5p1p/P4kp1/KR5P/6r1/8/8/8 b - -,370"
"b7/8/8/4k2p/2P3p1/1K1B2b1/4N3/8 w - -,-274"
"8/5k2/8/3p2p1/3N2N1/6K1/8/8 w - -,224"
"8/5k2/8/3pN1p1/3N4/6K1/8/8 b - -,203"
"8/Pkn5/5p1K/8/8/2p4P/6P1/3B4 w - -,381"
"8/Pkn5/5p1K/8/8/1Bp4P/6P1/8 b - -,383"
"8/5pk1/2R2p1p/5K2/1r6/8/8/8 b - -,-349"
"8/1p3pk1/2b2p1p/1BR2K2/1r6/8/8/8 w - -,-285"
"6k1/1p3p2/2b2p1p/2R2K2/1rB5/8/8/8 w - -,-398"
"6k1/8/p6R/2pP4/2P5/5KP1/r7/8 b - -,266"
"3Rn3/5kp1/6N1/5P2/6PK/8/8/r7 w - -,210"
"7N/2k5/2p5/4P1p1/4K3/2p5/2r5/1R6 w - -,154"
"8/3k4/2p3N1/4P3/6p1/5r2/3K4/7R w - -,343"
"6Nk/7p/2p5/8/2K5/6r1/5B2/8 w - -,289"
"5R2/3b2p1/p5k1/4P3/3N1P2/3K4/r7/8 w - -,324"
"8/p4p2/8/3pk1K1/P5P1/1PN5/2n5/8 b - -,-316"
"8/3k1p2/r5Pp/P3K3/R5P1/8/5P2/8 b - -,263"
"8/p7/5p2/3pk1K1/P5P1/1PN5/2n5/8 w - -,-331"
"8/p7/5pK1/3pk3/P5P1/1PN5/2n5/8 b - -,-360"
"8/p7/5pK1/3pk3/P5P1/1PN1n3/8/8 w - -,-385"
"8/8/p4k2/P1P5/r5pP/4B3/5P2/7K b - -,-271"
"8/7r/4b1p1/4P3/1k2N3/5K2/p7/B1R5 w - -,253"
"8/7r/4b1p1/4P1N1/1k6/5K2/p7/B1R5 b - -,255"
"8/7r/6p1/3bP1N1/1k6/5K2/p7/B1R5 w - -,265"
"8/7r/6p1/3bP1N1/1k6/6K1/p7/B1R5 b - -,269"
"8/4r3/6p1/3bP1N1/1k6/6K1/p7/B1R5 w - -,273"
"8/4r3/4P1p1/3b2N1/1k6/6K1/p7/B1R5 b - -,271"
"8/8/4r1p1/3b2N1/1k6/6K1/p7/B1R5 w - -,268"
"8/8/4N1p1/3b4/1k6/6K1/p7/B1R5 b - -,267"
"8/8/4b3/6p1/1k3K2/8/p7/B1R5 w - -,264"
"8/8/4b3/6K1/1k6/8/p7/B1R5 b - -,275"
"8/8/4bK2/1k6/8/8/p7/B1R5 b - -,284"
"6b1/8/5K2/1k6/8/8/p7/B1R5 w - -,289"
"2R3b1/8/5K2/1k6/8/8/p7/B7 b - -,305"
"2R5/8/5K2/1k1b4/8/8/p7/B7 w - -,330"
"1r6/6pp/1P1k4/8/8/7P/6PK/1R6 w - -,335"
"1r6/6pp/1P1k4/8/8/6KP/6P1/1R6 b - -,399"
"4r1k1/3N1pp1/2R4p/8/3P4/4R1K1/8/8 b - -,377"
"6k1/3N1pp1/2R4p/8/3P4/4r1K1/8/8 w - -,366"
"6k1/3N1pp1/2R4p/8/3P1K2/3r4/8/8 w - -,383"
"6k1/3N1pp1/2R4p/3P4/4K3/8/8/3r4 b - -,389"
"6r1/2p3P1/1p5P/p1p5/P5k1/8/7K/8 b - -,157"
"6r1/2p3P1/1p5P/p1p3k1/P7/8/7K/8 w - -,258"
"6r1/2p3PP/1p6/p1p3k1/P7/8/7K/8 b - -,282"
"8/8/4K3/r7/4n3/1Nn1n3/8/k7 b - -,-170"
"8/8/4K3/r7/4n3/1Nn1n3/k7/8 w - -,-168"
"8/8/4pPp1/4P1k1/R7/P7/r2pK3/8 b - -,278"
"5r2/1k4pp/1P6/8/4K3/7P/6P1/1R6 w - -,265"
"6k1/6pp/4pp2/1R6/5r2/7P/5P2/6K1 w - -,-392"
"8/P1p1k3/2P5/3P1KP1/7P/8/8/r7 w - -,294"
"6r1/1k4pp/1P1RK3/8/8/7P/6P1/8 b - -,373"
"8/3k4/2pb1P2/R7/P1p4P/6r1/4K3/8 w - -,-371"
"4R3/8/6K1/8/3p2P1/4p3/5k2/8 b - -,-345"
"8/3k4/2pb1P2/5R2/P6P/2p3r1/4K3/8 w - -,-376"
"8/3k4/2pb1P2/8/P6P/2p3r1/4K3/5R2 b - -,-382"
"4k3/8/2pb1P2/8/P6P/2p3r1/4K3/5R2 w - -,-355"
"5k2/5P2/2pb4/8/P6P/2p3r1/4K3/5R2 w - -,-345"
"5k2/5P2/2pb4/P7/7P/2p3r1/4K3/5R2 b - -,-365"
"5k2/5P2/2p5/P7/1b5P/2p3r1/4K3/5R2 w - -,-309"
"5k2/5P2/P1p5/2b5/7P/2p3r1/4K3/5R2 w - -,-342"
"k2r4/1p3R2/4B3/2B5/8/6p1/P1b5/4K3 b - -,196"
"8/6pk/3P1p2/5P2/p4n2/P5K1/7P/8 b - -,-307"
"5k2/6rR/p4p2/1p1B1K2/3b4/8/8/8 w - -,-349"
"7R/4k1r1/p4p2/1p1B1K2/3b4/8/8/8 w - -,-375"
"8/1N4k1/4K3/8/8/1B6/8/8 w - -,157"
"5R2/8/3K4/2Pp4/6b1/2r4p/1B4k1/8 b - -,-341"
"8/1N4k1/8/5K2/8/8/8/3B4 w - -,160"
"6k1/8/8/8/5p2/3B3p/3KP3/8 b - -,-390"
"5r2/1kp2R2/6K1/p1p5/8/P1P1N3/8/8 b - -,310"
"4r3/1kp2R2/6K1/p1p5/8/P1P1N3/8/8 w - -,297"
"4r3/1kp2R2/6K1/p1pN4/8/P1P5/8/8 b - -,314"
"4r3/2p2R2/2k3K1/p1pN4/8/P1P5/8/8 w - -,307"
"8/K7/5k2/2R5/1P6/6pp/8/8 w - -,-274"
"6k1/5p2/8/2n5/2p1r3/2K4P/5PP1/R7 w - -,-262"
"8/r7/1K3k2/2R5/1P4p1/7p/8/8 w - -,-264"
"5k2/b4P2/P1p5/8/1R5P/2p3r1/2K5/8 b - -,-249"
"8/1kp5/5RK1/p1pN4/2P1r3/P7/8/8 w - -,312"
"8/1kp5/6K1/p1pN4/2P1rR2/P7/8/8 b - -,335"
"6k1/R4p2/8/8/2p2r2/2Kn1P1P/6P1/8 b - -,-292"
"8/1kp5/4r1K1/p1pN4/2P2R2/P7/8/8 w - -,330"
"8/1kp5/4r3/p1pN1K2/2P2R2/P7/8/8 b - -,355"
"8/b4rk1/P1p5/8/1R5P/2K5/8/8 b - -,-207"
"8/P7/1K3k2/8/1P4p1/7p/7R/r7 b - -,-232"
"8/P7/1K6/6k1/1P4p1/7p/7R/r7 w - -,-227"
"8/b5k1/P1p5/8/1R5P/5r2/2K5/8 b - -,-200"
"8/P7/1K3k2/8/1P4p1/7p/8/r1R5 b - -,-153"
"8/K7/5k2/8/1P4p1/7p/8/2R5 b - -,-199"
"8/K7/5k2/8/1P6/6pp/8/2R5 w - -,-268"
"8/bR6/P1p2k2/8/7P/5r2/2K5/8 b - -,-209"
"8/PR6/2p2k2/8/3b3P/r7/2K5/8 w - -,-215"
"8/b4r2/P1p5/5k2/2R4P/8/2K5/8 b - -,-276"
"8/b4r2/P7/2p2k2/2R4P/8/2K5/8 w - -,-290"
"8/b4r2/P7/2p2k2/2R4P/1K6/8/8 b - -,-296"
"2N1B1k1/8/5K2/8/8/8/8/8 b - -,200"
"8/b7/P4r2/2p2k2/2R4P/1K6/8/8 w - -,-302"
"8/b7/P4r2/2p2k2/R6P/1K6/8/8 b - -,-335"
"2N5/4K1k1/2B5/8/8/8/8/8 w - -,195"
"2N5/4K1k1/8/3B4/8/8/8/8 b - -,191"
"2N5/4K3/6k1/3B4/8/8/8/8 w - -,190"
"8/b7/P4r2/2p1k3/R6P/1K6/8/8 w - -,-307"
"8/8/8/2n2kPp/5P2/2P4P/4K3/8 w - -,-249"
"8/8/8/2n2kPp/5P2/2P1K2P/8/8 b - -,-273"
"8/8/4n3/5kPp/5P2/2P1K2P/8/8 w - -,-291"
"8/8/4n1P1/5k1p/5P2/2P1K2P/8/8 b - -,-376"
"8/6n1/6P1/5k1p/5P2/2P1K2P/8/8 w - -,-386"
"8/6pk/6b1/6p1/1p1R2P1/7P/3p3K/8 w - -,-173"
"8/6pk/6b1/6p1/6P1/1p5P/3R3K/8 w - -,-157"
"8/8/6k1/4rp1p/2R1p2P/4P1K1/5P2/8 w - -,232"
"8/8/2R3k1/4rp1p/4p2P/4P1K1/5P2/8 b - -,257"
"8/5k2/2R5/4rp1p/4p2P/4P1K1/5P2/8 w - -,285"
"8/5k2/2R5/4rp1p/4pK1P/4P3/5P2/8 b - -,297"
"8/5k2/2R5/1r3p1p/4pK1P/4P3/5P2/8 w - -,318"
"8/5k2/7R/1r3p1p/4pK1P/4P3/5P2/8 b - -,341"
"8/5k2/7R/5p1p/4pK1P/4P3/1r3P2/8 w - -,345"
"8/5k2/7R/5K1p/4p2P/4P3/1r3P2/8 b - -,345"
"8/5k2/7R/5K1p/4p2P/4P3/5r2/8 w - -,353"
"8/5k2/7R/7p/4K2P/4P3/5r2/8 b - -,321"
"8/5k2/7R/7p/4K2P/4P3/7r/8 w - -,372"
"8/5k2/8/7R/4K2P/4P3/7r/8 b - -,372"
"8/8/6k1/7R/4K2P/4P3/7r/8 w - -,372"
"8/8/6k1/6R1/4K2P/4P3/7r/8 b - -,380"
"8/8/5k2/6R1/4K2P/4P3/7r/8 w - -,381"
"8/b1p1k1B1/P4p2/5P2/4b3/5K2/8/8 w - -,376"
"8/8/8/4N3/2K5/8/1k6/7B w - -,199"
"8/3N4/2k1K3/8/8/5B2/8/8 b - -,198"
"8/3N4/4K3/1k6/8/5B2/8/8 w - -,193"
"8/3N4/4K3/8/1k6/8/4B3/8 w - -,190"
"8/8/8/3K4/8/1B1k4/8/4N3 b - -,207"
"8/8/8/2KB4/8/3k4/6N1/8 w - -,194"
"8/3B4/8/2N1k3/8/5K2/8/8 w - -,166"
"8/4k2p/5np1/1N2p3/7P/1Kr5/6P1/8 w - -,-362"
"8/8/5k1K/8/4B3/8/4N3/8 w - -,178"
"8/8/5k2/7K/4B3/8/4N3/8 b - -,174"
"8/8/8/4k3/7K/5B2/4N3/8 w - -,168"
"8/8/3k4/8/6K1/5B2/4N3/8 w - -,166"
"8/8/8/2k1K3/8/5B2/4N3/8 b - -,165"
"8/8/8/2k5/5K2/5B2/4N3/8 w - -,160"
"8/8/8/8/3k1K2/5B2/8/2N5 w - -,164"
"8/8/8/2k1N3/8/4KB2/8/8 w - -,154"
"6k1/8/6p1/3PrP2/8/6r1/P4R2/R4K2 w - -,307"
"8/5p2/4ppk1/7p/5P2/5P2/5P1P/7K w - -,-341"
"8/5pk1/4pp2/7p/5P2/5P2/5P1P/7K b - -,-284"
"8/1kp5/1p6/2p4K/p1r2B1P/8/8/5R2 b - -,241"
"8/1KP5/3p4/1r6/3Pk3/8/8/8 w - -,266"
"2k5/5R2/7p/8/4P3/Pn6/1b4PP/7K w - -,385"
"8/8/8/p3PpK1/b1k4R/1p6/8/8 b - -,-290"
"2k5/R7/7p/8/4P3/Pn6/6PP/2b4K b - -,271"
"8/8/r6p/5pp1/5k2/8/PKR2P1P/8 w - -,-237"
"8/3p1k2/1Pp2r2/4R3/8/8/6P1/6K1 b - -,386"
"8/8/4r3/P5pp/5p1k/1KR4P/5P2/8 b - -,-269"
"8/8/4r3/P6p/5pPk/1KR5/5P2/8 b - -,-278"
"8/8/8/4K3/8/4kp2/6p1/1R6 w - -,-267"
"8/8/4r3/P6p/5pk1/1KR5/5P2/8 w - -,-252"
"8/8/8/3K4/5p2/4k3/6p1/1R6 w - -,-253"
"6k1/1R6/4p3/7r/3n4/P5P1/P7/K1B5 w - -,163"
"8/8/2K5/1B6/8/3N4/8/1k6 w - -,200"
"6k1/2R5/4p3/r7/3n4/P5P1/P7/K1B5 w - -,167"
"8/8/2K5/8/B7/3N4/k7/8 w - -,196"
"6k1/2R5/4p3/1r6/3n4/P5P1/PK6/2B5 w - -,155"
"8/8/2K5/8/B7/8/8/k1N5 w - -,192"
"8/8/2K5/8/B7/1N6/1k6/8 w - -,192"
"6k1/2R5/4p3/1r6/8/P1K3P1/P3n3/2B5 w - -,166"
"1r4k1/2R5/4p3/8/2K5/P5P1/P3n3/2B5 w - -,162"
"1r4k1/2R5/4p2B/8/2K5/P5P1/P3n3/8 b - -,156"
"8/8/4N3/8/B1K1k3/8/8/8 w - -,182"
"r5k1/2R5/4p2B/8/2K5/P5P1/P3n3/8 w - -,153"
"r5k1/2R5/4p2B/8/8/PK4P1/P3n3/8 b - -,165"
"1r4k1/2R5/4p2B/8/8/PK4P1/P3n3/8 w - -,164"
"r5k1/2R5/4p2B/8/8/P5P1/P1K1n3/8 w - -,164"
"r5k1/2R5/4p2B/8/8/P5P1/P3n3/3K4 b - -,161"
"r5k1/2R5/4p2B/8/3n4/P5P1/P7/3K4 w - -,179"
"r5k1/6R1/4p2B/8/3n4/P5P1/P7/3K4 b - -,187"
"r6k/6R1/4p2B/8/3n4/P5P1/P7/3K4 w - -,190"
"8/4P3/8/8/1k2r3/7R/8/K7 w - -,373"
"r6k/8/4p2B/8/3n2R1/P5P1/P7/3K4 b - -,184"
"r7/7k/4p2B/8/3n2R1/P5P1/P7/3K4 w - -,187"
"8/8/5k2/8/2K5/1B1N4/8/8 w - -,169"
"r7/7k/4p3/8/3n2R1/P5P1/P2B4/3K4 b - -,182"
"r7/7k/8/4p3/3n2R1/P5P1/P2B4/3K4 w - -,185"
"r7/8/7k/4p3/1B1n2R1/P5P1/P7/3K4 w - -,203"
"r7/8/7k/4p3/3n2R1/P5P1/P2B4/3K4 b - -,202"
"3r4/8/8/5n2/P3k1R1/6P1/P2B4/3K4 b - -,212"
"3r4/8/8/5n2/P4R2/3k2P1/P2B4/3K4 b - -,209"
"3r4/8/8/8/P2n1R2/3k2P1/P2B4/3K4 w - -,210"
"8/8/8/8/7K/4n3/3bk3/8 b - -,-224"
"8/8/8/3n4/7K/8/3bk3/8 w - -,-218"
"8/8/8/3n4/5bK1/8/4k3/8 w - -,-220"
"6r1/8/8/8/P2n4/3k2P1/P2B1R2/3K4 w - -,222"
"6r1/8/8/8/P2n4/3k2P1/P4R2/3KB3 b - -,212"
"8/8/8/5K1n/5b2/4k3/8/8 w - -,-210"
"8/K1k3P1/6r1/8/8/8/7R/8 w - -,264"
"1r6/4P3/R7/8/1k6/8/8/K7 w - -,251"
"4r3/8/8/8/P1k5/5nP1/P1R2B2/2K5 b - -,214"
"8/8/3r4/P1k5/2n1R3/2B3P1/4K3/8 b - -,251"
"8/8/3r4/Pk6/2n1R3/2B3P1/4K3/8 w - -,264"
"3r4/8/2kn4/P7/5R2/2B3P1/4K3/8 w - -,273"
"3r4/8/2k5/Pn6/5RP1/2B5/4K3/8 w - -,285"
"3r4/8/2k5/Pn6/5RP1/2B1K3/8/8 b - -,285"
"1R6/5pkp/b5p1/8/4P3/5PP1/8/6K1 b - -,390"
"8/7p/p3N3/2B5/4P2k/P1r5/4K3/8 w - -,263"
"8/7p/p3N3/2B5/4P2k/Pr6/3K4/8 w - -,393"
"8/R4pk1/8/4p1P1/1P6/P7/5r1P/7K w - -,293"
"8/7p/p7/2B5/3NP2k/Pr6/3K4/8 b - -,194"
"8/7p/p7/2B1P3/3N3k/P7/3K4/1r6 b - -,279"
